Portman_all,Portman_Gen2,Sanmina_all,Sanmina_Gen2,Portman Check,Sanmina Check,Boards,,
QR420-0345-20950,,QR420-0345-20123,,,MISSING,0,,
QR420-0345-20964,,QR420-0461-20021,,,MISSING,0,,
QR420-0345-20532,,QR420-0345-20661,,,MISSING,0,,
QR420-0345-20819,,QR420-0345-21350,,,MISSING,0,,
QR420-0345-20995,,QR420-0345-20976,,,MISSING,0,,
QR420-0345-20759,,QR420-0461-20096,,,MISSING,0,,
QR420-0345-20736,,QR420-0345-20349,,,MISSING,0,,
QR420-0345-20343,,QR420-0345-20364,,,MISSING,0,,
QR420-0345-20590,,QR420-0345-21091,,,MISSING,0,,
QR420-0345-20796,,QR420-0345-21272,,,MISSING,0,,
QR420-0345-20557,,QR420-0345-20952,,,MISSING,0,,
QR420-0345-20721,,QR420-0345-20739,,,MISSING,0,,
QR420-0345-20988,,QR420-0345-20517,,,MISSING,0,,
QR420-0345-21035,,QR420-0461-20060,,,MISSING,0,,
QR420-0345-20594,,QR420-0345-20100,,,MISSING,0,,
QR420-0345-20377,,QR420-0345-20351,,,MISSING,0,,
QR420-0345-20162,,QR420-0345-20762,,,MISSING,0,,
QR420-0345-20469,,QR420-0345-21096,,,MISSING,0,,
QR420-0345-00745,,QR420-0345-20593,,,MISSING,0,,
QR420-0345-20227,,QR420-0345-20402,,,MISSING,0,,
QR420-0345-20832,,QR420-0345-20305,,,MISSING,0,,
QR420-0345-20426,,QR420-0345-20536,,,MISSING,0,,
QR420-0345-20258,,QR420-0345-20919,,,MISSING,0,,
QR420-0345-20905,,QR420-0345-20269,,,MISSING,0,,
QR420-0345-20406,,QR420-0345-20964,,,MISSING,0,,
